ano,uf,candidato_pesquisa,candidato_resultado
2010,AC,Jorge Viana (PT),Jorge Viana PT
2010,AC,Petecão (PMN),Sergio de Oliveira Cunha (Petecão) PMN
2010,AC,Edvaldo Magalhães (PC do B),Edvaldo Magalhães PCdoB
2010,AC,João Correia (PMDB),João Corrêia PMDB
2010,AC,Cezar Henrique (Psol),
2010,AL,Renan Calheiros,Renan Calheiros (PMDB)
2010,AL,Heloisa Helena (Psol),Heloisa Helena (PSOL)
2010,AL,Benedito de Lira (PP),Benedito de Lira (PP)
2010,AL,Eduardo Bomfim (PC do B),Eduardo Bonfim (PCdoB)
2010,AL,Zé Costa (PPS),Zé Costa (PPS)
2010,AL,Alvaro Vasconcelos (PTB),Alvaro Vasconscelos (PTB)
2010,AL,Afonso Lacerda (PRTB),Afonso Lacerda (PRTB)
2010,AL,Diógenes Paes (PCB),Diógenes Paes (PCB)
2010,AL,Flavio Emilio (PTB),Flavio Emilio (PTB)
2010,AL,Paulo Nunes (PRTB),Paulo Nunes (PRTB)
2010,AM,Eduardo Braga (PMDB),Eduardo Braga PMDB
2010,AM,Vanessa Graziotin (PCdoB),Vanessa Grazziotin PCdoB
2010,AM,Arthur Virgílio (PSDB),Artur Virgílio Neto PSDB
2010,AM,Jefferson Praia (PDT),Jefferson Praia PDT
2010,AM,Marilene Corrêa (PT),Marilene Correia PT
2010,AM,Francisco Castelo (PCB),Tarcísio Leão PSTU
2010,AM,Evandro Carrera (Psol),Marilene Correia PT
2010,AP,Capiberibe (PSB),João Capiberibe PSB
2010,AP,Gilvam Borges (PMDB),Gilvam Borges PMDB
2010,AP,Randolfe (Psol),Randolfe Rodrigues PSOL
2010,AP,Waldez (PDT),Waldez Góes PDT
2010,AP,Papaleo (PSDB),Papaléo Paes PSDB
2010,AP,Professor Marcos (PT),Professor Marcos PT
2010,AP,Claudio Vigilante (PSTU),Claudio Vigilante PSTU
2010,BA,Amostragem,
2010,BA,César Borges (PR),César Borges (PR)
2010,BA,Lídice da Mata (PSB),Lídice da Mata (PSB)
2010,BA,Walter Pinheiro (PT),Walter Pinheiro (PT)
2010,BA,José Carlos Aleluia (DEM),José Carlos Aleluia (DEM)
2010,BA,José Ronaldo (DEM),Zé Ronaldo (DEM)
2010,BA,Evaldo Brito (PTB),Edvaldo Brito (PTB)
2010,BA,Edson Duarte (PV),Edson Duarte (PV)
2010,BA,Zilmar (Psol),Zilmar da Silva (PSOL)
2010,BA,França (Psol),Luís Carlos França (PSOL)
2010,BA,Albione (PSTU),Albione Silva (PSTU)
2010,BA,Carlos Sampaio (PCB),Luís Carlos França (PSOL)
2010,CE,Tasso Jereissati (PSDB),Tasso Jereissati (PSDB)
2010,CE,Eunício de Oliveira (PMDB),Eunício Oliveira (PMDB)
2010,CE,José Pimentel (PT),José Pimentel (PT)
2010,CE,Alexandre Pereira (PPS),Alexandre Pereira (PPS)
2010,CE,Marilene Torres (Psol),Marilene Torres (PSOL)
2010,CE,Tarcísio Leitão (PCB),Tasso Jereissati (PSDB)
2010,CE,Raquel Dias (PSTU),Raquel Dias (PSTU)
2010,CE,Reginaldo Araújo (PSTU),Reginaldo (PSTU)
2010,CE,"Paulo Eduardo Teixeira, o Pólo (PV)",
2010,CE,Benedito Oliveira (PCB),Benedito Oliveira (PCB)
2010,CE,01/09 - Tasso Jereissati (PSDB),Tasso Jereissati (PSDB)
2010,DF,Cristovam Buarque (PDT),Cristovam Buarque PDT
2010,DF,Rodrigo Rollemberg (PSB),Rodrigo Rollemberg PSB
2010,DF,Alberto Fraga (DEM),Alberto Fraga DEM
2010,DF,Maria Abadia (PSDB),
2010,DF,Pastor (Milton Tadashi (PTN),Milton Tadashi PTN
2010,DF,Chico Sant'anna (Psol),Chico Sant'Anna PSOL
2010,DF,Rosana Chaib (PCB),Robson da Silva PSTU
2010,DF,Gerônimo (PSL),Sebastião Gerônimo PSL
2010,DF,Moacir Bueno (PV),Moacir Bueno PV
2010,DF,Jorge Antunes (Psol),Jorge Antunes PSOL
2010,DF,Cadu Valadares (PV),Cadu Valadares PV
2010,DF,Pastor Milton Tadashi (PTN),Milton Tadashi PTN
2010,DF,Robson (PSTU),Robson da Silva PSTU
2010,ES,Magno Malta (PR),Magno Malta PR
2010,ES,Ricardo Ferraço (PMDB),Ricardo Ferraço PMDB
2010,ES,Rita Camata (PSDB),Rita Camata PSDB
2010,ES,Professor Renato (Psol),Ricardo Ferraço PMDB
2010,ES,José Carlos Gratz (PSL),
2010,GO,Demóstenes (DEM),Demóstenes Torres[nota 1] DEM
2010,GO,Lúcia (PSDB),Lúcia Vânia PSDB
2010,GO,Pedro (PT),Pedro Wilson Guimarães PT
2010,GO,Paulo Roberto (PP),Paulo Roberto Cunha PP
2010,GO,Adib (PMDB),Adib Elias PMDB
2010,GO,Renner (PP),Renner Reis[nota 3] PP
2010,GO,Elias Vaz (PSOL),Elias Vaz PSOL
2010,GO,Rubens Donizzeti (PSTU),Rubens Donizzeti PSTU
2010,GO,Bispo (PCB),Bernardo Bispo PCB
2010,GO,Demóstenes Torres (DEM),Demóstenes Torres[nota 1] DEM
2010,GO,Lúcia Vânia (PSDB),Lúcia Vânia PSDB
2010,GO,Pedro Wilson (PT),Pedro Wilson Guimarães PT
2010,GO,Adib Elias (PMDB),Adib Elias PMDB
2010,GO,Paulo Roberto Cunha (PP),Paulo Roberto Cunha PP
2010,GO,Elias Vaz (Psol),Elias Vaz PSOL
2010,GO,Bernardo Bispo (PCB),Bernardo Bispo PCB
