ano,uf,estado,pagina,url,status,tabelas_senado,linhas_pesquisa,observacoes_candidato,formatos,erro
2018,AC,Acre,Eleições estaduais no Acre em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Acre_em_2018,com_pesquisas,1,2,12,duas_mencoes_agregadas,
2018,AL,Alagoas,Eleições estaduais em Alagoas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Alagoas_em_2018,com_pesquisas,1,2,12,duas_mencoes_agregadas,
2018,AP,Amapá,Eleições estaduais no Amapá em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amap%C3%A1_em_2018,com_pesquisas,1,1,6,duas_mencoes_agregadas,
2018,AM,Amazonas,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,com_pesquisas,1,3,24,nao_identificado,
2018,BA,Bahia,Eleições estaduais na Bahia em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_na_Bahia_em_2018,com_pesquisas,1,5,55,duas_mencoes_agregadas,
2018,CE,Ceará,Eleições estaduais no Ceará em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Cear%C3%A1_em_2018,com_pesquisas,1,3,39,duas_mencoes_agregadas,
2018,DF,Distrito Federal,Eleições distritais no Distrito Federal em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_distritais_no_Distrito_Federal_em_2018,com_pesquisas,1,3,60,duas_mencoes_agregadas,
2018,ES,Espírito Santo,Eleições estaduais no Espírito Santo em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Esp%C3%ADrito_Santo_em_2018,com_pesquisas,1,1,11,duas_mencoes_agregadas,
2018,GO,Goiás,Eleições estaduais em Goiás em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Goi%C3%A1s_em_2018,com_pesquisas,1,2,14,duas_mencoes_agregadas,
2018,MA,Maranhão,Eleições estaduais no Maranhão em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Maranh%C3%A3o_em_2018,com_pesquisas,1,12,156,nao_identificado,
2018,MT,Mato Grosso,Eleições estaduais em Mato Grosso em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Mato_Grosso_em_2018,com_pesquisas,1,1,11,duas_mencoes_agregadas,
2018,MS,Mato Grosso do Sul,Eleições estaduais em Mato Grosso do Sul em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Mato_Grosso_do_Sul_em_2018,com_pesquisas,2,44,278,duas_mencoes_agregadas,
