ano,uf,pagina,url,tabela,linha,periodo_campo,instituto,margem_erro_texto,margem_erro_pp,formato,candidato_rotulo,percentual,valor_original,contexto
2018,AC,Eleições estaduais no Acre em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Acre_em_2018,1,1,18/08 a 21/08/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Petecão (PSD),39.0,39%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Candidatos ao Senado Federal | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]"
2018,AC,Eleições estaduais no Acre em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Acre_em_2018,1,1,18/08 a 21/08/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Bittar (MDB),34.0,34%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Candidatos ao Senado Federal | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]"
2018,AC,Eleições estaduais no Acre em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Acre_em_2018,1,1,18/08 a 21/08/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Viana (PT),43.0,43%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Candidatos ao Senado Federal | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]"
2018,AC,Eleições estaduais no Acre em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Acre_em_2018,1,1,18/08 a 21/08/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Amorim (PT),30.0,30%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Candidatos ao Senado Federal | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]"
2018,AC,Eleições estaduais no Acre em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Acre_em_2018,1,1,18/08 a 21/08/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Kinpara (REDE),10.0,10%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Candidatos ao Senado Federal | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]"
2018,AC,Eleições estaduais no Acre em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Acre_em_2018,1,1,18/08 a 21/08/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Pedraza (PSL),2.0,2%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Candidatos ao Senado Federal | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]"
2018,AC,Eleições estaduais no Acre em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Acre_em_2018,1,2,17/09 a 19/09/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Petecão (PSD),52.0,52%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Candidatos ao Senado Federal | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]"
2018,AC,Eleições estaduais no Acre em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Acre_em_2018,1,2,17/09 a 19/09/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Bittar (MDB),39.0,39%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Candidatos ao Senado Federal | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]"
2018,AC,Eleições estaduais no Acre em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Acre_em_2018,1,2,17/09 a 19/09/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Viana (PT),35.0,35%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Candidatos ao Senado Federal | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]"
2018,AC,Eleições estaduais no Acre em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Acre_em_2018,1,2,17/09 a 19/09/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Amorim (PT),30.0,30%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Candidatos ao Senado Federal | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]"
2018,AC,Eleições estaduais no Acre em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Acre_em_2018,1,2,17/09 a 19/09/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Kinpara (REDE),12.0,12%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Candidatos ao Senado Federal | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]"
2018,AC,Eleições estaduais no Acre em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Acre_em_2018,1,2,17/09 a 19/09/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Pedraza (PSL),1.0,1%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Candidatos ao Senado Federal | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]"
2018,AL,Eleições estaduais em Alagoas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Alagoas_em_2018,1,1,13/08 a 15/08/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Calheiros (MDB),33.0,33%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Deputados Federais eleitos | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]"
2018,AL,Eleições estaduais em Alagoas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Alagoas_em_2018,1,1,13/08 a 15/08/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Cunha (PSDB),19.0,19%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Deputados Federais eleitos | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]"
2018,AL,Eleições estaduais em Alagoas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Alagoas_em_2018,1,1,13/08 a 15/08/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Lira (PP),25.0,25%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Deputados Federais eleitos | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]"
2018,AL,Eleições estaduais em Alagoas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Alagoas_em_2018,1,1,13/08 a 15/08/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Quintella (PR),18.0,18%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Deputados Federais eleitos | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]"
2018,AL,Eleições estaduais em Alagoas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Alagoas_em_2018,1,1,13/08 a 15/08/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Cabral (PATRI),10.0,10%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Deputados Federais eleitos | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]"
2018,AL,Eleições estaduais em Alagoas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Alagoas_em_2018,1,1,13/08 a 15/08/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Cícero (PSOL),7.0,7%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Deputados Federais eleitos | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]"
2018,AL,Eleições estaduais em Alagoas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Alagoas_em_2018,1,2,17/09 a 19/09/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Calheiros (MDB),39.0,39%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Deputados Federais eleitos | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]"
2018,AL,Eleições estaduais em Alagoas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Alagoas_em_2018,1,2,17/09 a 19/09/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Cunha (PSDB),37.0,37%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Deputados Federais eleitos | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]"
2018,AL,Eleições estaduais em Alagoas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Alagoas_em_2018,1,2,17/09 a 19/09/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Lira (PP),23.0,23%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Deputados Federais eleitos | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]"
2018,AL,Eleições estaduais em Alagoas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Alagoas_em_2018,1,2,17/09 a 19/09/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Quintella (PR),18.0,18%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Deputados Federais eleitos | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]"
2018,AL,Eleições estaduais em Alagoas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Alagoas_em_2018,1,2,17/09 a 19/09/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Cabral (PATRI),5.0,5%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Deputados Federais eleitos | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]"
2018,AL,Eleições estaduais em Alagoas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_em_Alagoas_em_2018,1,2,17/09 a 19/09/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Cícero (PSOL),4.0,4%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Deputados Federais eleitos | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]"
2018,AP,Eleições estaduais no Amapá em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amap%C3%A1_em_2018,1,1,14/09 a 16/09/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Randolfe (REDE),59.0,59%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Deputados estaduais eleitos | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]"
2018,AP,Eleições estaduais no Amapá em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amap%C3%A1_em_2018,1,1,14/09 a 16/09/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Janete (PSB),30.0,30%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Deputados estaduais eleitos | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]"
2018,AP,Eleições estaduais no Amapá em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amap%C3%A1_em_2018,1,1,14/09 a 16/09/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Lucas (PTB),22.0,22%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Deputados estaduais eleitos | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]"
2018,AP,Eleições estaduais no Amapá em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amap%C3%A1_em_2018,1,1,14/09 a 16/09/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Gilvam (MDB),13.0,13%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Deputados estaduais eleitos | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]"
2018,AP,Eleições estaduais no Amapá em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amap%C3%A1_em_2018,1,1,14/09 a 16/09/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Palaes (MDB),12.0,12%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Deputados estaduais eleitos | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]"
2018,AP,Eleições estaduais no Amapá em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amap%C3%A1_em_2018,1,1,14/09 a 16/09/2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Amanajás (PPS),12.0,12%,"Senado Federal | Governo do Estado | Pesquisas de intenção de voto | Deputados estaduais eleitos | Levando em conta que para o senado o eleitor irá votar duas vezes, as pesquisas possuem um universo de 200% | Senado Federal[editar | editar código]"
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,1,1,17 de agosto de 2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Braga (MDB),40.0,40%,Senador | 2.º turno | 1.º turno | Governo do Estado | Senador[editar | editar código]
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,1,1,17 de agosto de 2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Vanessa (PCdoB),24.0,24%,Senador | 2.º turno | 1.º turno | Governo do Estado | Senador[editar | editar código]
