id_rodada,ano,uf,instituto,periodo_campo,soma_percentuais_candidatos,numero_candidatos,formato_inferido,formato_confirmado,fonte_primaria_confirmada,publicado_em,url,linha_original
2010-AC-001,2010,AC,Ibope,28-30/08,145.0,5,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado,"Ibope 28-30/08 - Jorge Viana (PT) 63%, Petecão (PMN) 38%, Edvaldo Magalhães (PC do B) 31%, João Correia (PMDB) 11%, Cezar Henrique (Psol) 2%."
2010-AC-002,2010,AC,Ibope,27-29/07,136.0,5,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado,"Ibope 27-29/07 - Jorge Viana (PT) 64%, Petecão (PMN) 35%, Edvaldo Magalhães (PC do B) 27%, João Correia (PMDB) 7%, Cezar Henrique (Psol) 3%."
2010-AC-003,2010,AC,Ibope,12-14/07,136.0,4,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado,"Ibope 12-14/07 - Jorge Viana (PT) 67%, Petecão (PMN) 31%, Edvaldo Magalhães (PC do B) 27%, João Correia (PMDB) 11%."
2010-AL-004,2010,AL,Ibope,11-13/09,144.0,10,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado,"Ibope 11-13/09 - Renan Calheiros 54%, Heloisa Helena (Psol) 41%, Benedito de Lira (PP) 35%, Eduardo Bomfim (PC do B) 4%, Zé Costa (PPS) 4%, Alvaro Vasconcelos (PTB) 2%, Afonso Lacerda (PRTB) 1%, Diógenes Paes (PCB) 1%, Flavio Emilio (PTB) 1%, Paulo Nunes (PRTB) 1%."
2010-AL-005,2010,AL,Sensus,03-05/09,139.1,9,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado,"Sensus 03-05/09 - Renan Calheiros 46,8%, Heloisa Helena (Psol) 42,1%, Benedito de Lira (PP) 31,8%, Eduardo Bomfim (PC do B) 6,2%, Zé Costa (PPS) 4,2%, Afonso Lacerda (PRTB) 2,8%, Paulo Nunes (PRTB) 2,4%, Alvaro Vasconcelos (PTB) 1,8%, Diógenes Paes (PCB) 1%."
2010-AL-006,2010,AL,Ibope,21-23/08,127.0,10,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado,"Ibope 21-23/08 - Heloisa Helena (Psol) 44%, Renan Calheiros 42%, Benedito de Lira (PP) 28%, Zé Costa (PPS) 4%, Eduardo Bomfim (PC do B) 2%, Alvaro Vasconcelos (PTB) 2%, Paulo Nunes (PRTB) 2%, Afonso Lacerda (PRTB) 1%, Diógenes Paes (PCB) 1%, Flavio Emilio (PTB) 1%."
2010-AP-007,2010,AP,Escutec,18-21/09,162.0,7,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado,"Escutec 18-21/09 - Capiberibe (PSB) 39%, Gilvam Borges (PMDB) 36%, Randolfe (Psol) 36%, Waldez (PDT) 35%, Papaleo (PSDB) 12%, Professor Marcos (PT) 3%, Claudio Vigilante (PSTU) 1%."
2010-AP-008,2010,AP,Ibope,10-12/09,162.0,7,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado,"Ibope 10-12/09 - Capiberibe (PSB) 39%, Gilvam Borges (PMDB) 36%, Randolfe (Psol) 36%, Waldez (PDT) 35%, Papaleo (PSDB) 12%, Professor Marcos (PT) 3%, Claudio Vigilante (PSTU) 1%."
2010-AP-009,2010,AP,Ibope,01/09,135.0,7,duas_mencoes_agregadas,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado,"Ibope 01/09 - Waldez (PDT) 38%, Capiberibe (PSB) 30%, Gilvam Borges (PMDB) 28%, Randolfe (Psol) 21%, Papaleo (PSDB) 11%, Professor Marcos (PT) 4%, Claudio Vigilante (PSTU) 3%."
2010-AM-010,2010,AM,Perspectiva,16-22/09,90.0,5,nao_identificado,False,False,2010-10-02T07:00:00-03:00,https://www.congressoemfoco.com.br/noticia/82698/a-disputa-para-o-senado-estado-por-estado,"Perspectiva 16-22/09 - Eduardo Braga (PMDB) 39%, Vanessa Graziotin (PCdoB) 22%, Arthur Virgílio (PSDB) 20%, Jefferson Praia (PDT) 5%, Marilene Corrêa (PT) 4%."
